/Users/jedrzej/Downloads/TORGO-big/Session3_0164.wav,sing
/Users/jedrzej/Downloads/TORGO-big/Session3_0170.wav,leak
/Users/jedrzej/Downloads/TORGO-big/Session3_0158.wav,brought
/Users/jedrzej/Downloads/TORGO-big/Session3_0010.wav,wicker
/Users/jedrzej/Downloads/TORGO-big/Session3_0004.wav,rock
/Users/jedrzej/Downloads/TORGO-big/Session3_0038.wav,Some hotels are available nearby.
/Users/jedrzej/Downloads/TORGO-big/Session3_0206.wav,nest
/Users/jedrzej/Downloads/TORGO-big/Session3_0207.wav,ride
/Users/jedrzej/Downloads/TORGO-big/Session3_0039.wav,spit
/Users/jedrzej/Downloads/TORGO-big/Session3_0005.wav,shop
/Users/jedrzej/Downloads/TORGO-big/Session3_0011.wav,night
/Users/jedrzej/Downloads/TORGO-big/Session3_0159.wav,chip
/Users/jedrzej/Downloads/TORGO-big/Session3_0171.wav,hill
/Users/jedrzej/Downloads/TORGO-big/Session3_0165.wav,dart
/Users/jedrzej/Downloads/TORGO-big/Session3_0173.wav,red
/Users/jedrzej/Downloads/TORGO-big/Session3_0167.wav,sin
/Users/jedrzej/Downloads/TORGO-big/Session3_0198.wav,xxx
/Users/jedrzej/Downloads/TORGO-big/Session3_0007.wav,People who value themselves are life's winners.
/Users/jedrzej/Downloads/TORGO-big/Session3_0013.wav,geese
/Users/jedrzej/Downloads/TORGO-big/Session3_0205.wav,zip
/Users/jedrzej/Downloads/TORGO-big/Session3_0211.wav,spark
/Users/jedrzej/Downloads/TORGO-big/Session3_0210.wav,sell
/Users/jedrzej/Downloads/TORGO-big/Session3_0204.wav,lake
/Users/jedrzej/Downloads/TORGO-big/Session3_0012.wav,write
/Users/jedrzej/Downloads/TORGO-big/Session3_0006.wav,nice
/Users/jedrzej/Downloads/TORGO-big/Session3_0199.wav,Help Greg to pick a peck of potatoes.
/Users/jedrzej/Downloads/TORGO-big/Session3_0166.wav,fed
/Users/jedrzej/Downloads/TORGO-big/Session3_0172.wav,The wait for work can be very long.
/Users/jedrzej/Downloads/TORGO-big/Session3_0176.wav,select
/Users/jedrzej/Downloads/TORGO-big/Session3_0162.wav,"Night after night, they received annoying phone calls."
/Users/jedrzej/Downloads/TORGO-big/Session3_0189.wav,spit
/Users/jedrzej/Downloads/TORGO-big/Session3_0016.wav,sierra
